Year,Units,criminal offences,Value
2003,"per 100,000 inhabitants",other offences,6667.887
2004,"per 100,000 inhabitants",other offences,6658.625
2005,"per 100,000 inhabitants",other offences,6369.412
2006,"per 100,000 inhabitants",other offences,6266.75
2007,"per 100,000 inhabitants",other offences,6299.947
2008,"per 100,000 inhabitants",other offences,6138.74
2009,"per 100,000 inhabitants",other offences,5997.87
2010,"per 100,000 inhabitants",other offences,5850.772
2011,"per 100,000 inhabitants",other offences,5963.585
2012,"per 100,000 inhabitants",other offences,5923.634
2013,"per 100,000 inhabitants",other offences,5894.4
2014,"per 100,000 inhabitants",other offences,5986.7
2015,"per 100,000 inhabitants",other offences,6243.8
2016,"per 100,000 inhabitants",other offences,6306.3
2017,"per 100,000 inhabitants",other offences,5571.9
2018,"per 100,000 inhabitants",other offences,5411.739
2019,"per 100,000 inhabitants",other offences,5279.749
2020,"per 100,000 inhabitants",other offences,5166.816
2021,"per 100,000 inhabitants",other offences,4903.685
2022,"per 100,000 inhabitants",other offences,5546.324
2023,"per 100,000 inhabitants",other offences,5872.316
