Year,Units,Series,Art der Klassifizierung,Value
2008,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,20.3
2009,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,22.0
2010,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,21.8
2011,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,20.7
2012,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,21.9
2013,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,23.7
2014,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,26.6
2015,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,27.3
2016,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,28.2
2017,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,28.6
2018,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,29.4
2019,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,30.1
2020,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,30.1
2021,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,31.7
2022,Prozent,Tertiärer oder postsekundarer nicht-tertiärer Abschluss,Hochschulabschlüsse,31.8
